分类,难度,标准问题,测试问题,关键词,是否匹配,最高相似度,匹配到的标准问题,匹配到的答案摘要
产品信息,相似,如何查询自己是否已开通自动续保?,怎么查我有没有开自动续保？,"自动续保,查询,是否开通",是,0.842,如何查询自己是否已开通自动续保?,（1）如您是通过我的南京APP、南京宁惠保公众号参保：可点击“南京宁惠保”公众号菜单栏→【个人中心】→【保单查询】→【我的保单】查看自动续保是否开启。
（2）如
产品信息,标准,南京基本医保参保人可以为直系亲属投保宁惠保吗？,南京基本医保参保人可以为直系亲属投保宁惠保吗？,"为亲属投保,直系亲属参保,家庭成员买保险",是,0.909,南京基本医保参保人可以为直系亲属投保宁惠保吗？,南京基本医保参保人（包括南京城镇职工医保和城乡居民医保参保人群）可以为其直系亲属投保宁惠保，直系亲属需为江苏省内其他地市的基本医保参保人。申请理赔时需提供被保险
产品信息,相似,南京基本医保参保人可以为直系亲属投保宁惠保吗？,我可以给家人买宁惠保吗？,"为亲属投保,直系亲属参保,家庭成员买保险",是,0.833,南京基本医保参保人可以为直系亲属投保宁惠保吗？,南京基本医保参保人（包括南京城镇职工医保和城乡居民医保参保人群）可以为其直系亲属投保宁惠保，直系亲属需为江苏省内其他地市的基本医保参保人。申请理赔时需提供被保险
产品信息,标准,哪些人群可以参加南京宁惠保？,哪些人群可以参加南京宁惠保？,"参保对象,近亲属,断保用户",否,0.854,哪些人群可以参保南京宁惠保？,南京宁惠保面向南京市基本医疗保险参保人员开放参保，包括城镇职工、城乡居民等。异地参保人员也可通过线上渠道进行参保，具体操作可参考官方指引或咨询客服。
产品信息,相似,哪些人群可以参加南京宁惠保？,没交医保的人能参加宁惠保吗？,"参保对象,近亲属,断保用户",是,0.819,哪些人群可以参加南京宁惠保？,南京宁惠保面向南京市基本医疗保险参保人员及其近亲属开放参保，包括但不限于已参保人员、断保用户以及未参保但符合参保条件的人员。具体参保条件可参考官方发布的参保指南
产品信息,标准,外籍人士可以投保这款产品吗？,外籍人士可以投保这款产品吗？,"外籍人士,投保资格,外国人参保",是,0.809,外籍人士可以投保这款产品吗？,您好，外籍人士无法在线上完成投保。
产品信息,相似,外籍人士可以投保这款产品吗？,外国人可以买这款保险吗？,"外籍人士,投保资格,外国人参保",是,0.773,外籍人士可以投保这款产品吗？,您好，外籍人士无法在线上完成投保。
产品信息,标准,城市定制型保险/普惠型补充医疗保险是什么？,城市定制型保险/普惠型补充医疗保险是什么？,"城市定制型保险,普惠型补充医疗,政府合作",是,0.874,城市定制型保险/普惠型补充医疗保险是什么？,您好，城市普惠型补充医疗保险是各地政府联合保险公司推出的，立足当地医保政策及群众需求的高性价比报销型商业补充医疗保险产品。这类产品投保门槛低，只要参保了当地医保
产品信息,相似,城市定制型保险/普惠型补充医疗保险是什么？,什么是城市定制型商业保险？,"城市定制型保险,普惠型补充医疗,政府合作",是,0.778,城市定制型保险/普惠型补充医疗保险是什么？,您好，城市普惠型补充医疗保险是各地政府联合保险公司推出的，立足当地医保政策及群众需求的高性价比报销型商业补充医疗保险产品。这类产品投保门槛低，只要参保了当地医保
产品信息,标准,填写的身份信息会被泄露吗？,填写的身份信息会被泄露吗？,"信息泄露,隐私保护,身份信息",是,0.828,填写的身份信息会被泄露吗？,您好，我们对您的信息承担保密义务，并仅会在您授权的范围内使用您的信息。同时，为保障您的信息安全，我们将使用各种安全技术及配套的管理体系来防止您的信息被泄露、毁损
产品信息,相似,填写的身份信息会被泄露吗？,填写的个人信息会不会被泄露？,"信息泄露,隐私保护,身份信息",是,0.825,填写的身份信息会被泄露吗？,您好，我们对您的信息承担保密义务，并仅会在您授权的范围内使用您的信息。同时，为保障您的信息安全，我们将使用各种安全技术及配套的管理体系来防止您的信息被泄露、毁损
产品信息,标准,为什么建议您保留自动续保?,为什么建议您保留自动续保?,"自动续保,续保,保障中断",是,0.890,为什么建议您保留自动续保?,保障不中断：无需手动记投保时间，划扣成功后直接续接次年保障，避免因忙碌、遗忘导致“保障空窗期”，应对突发医疗需求更安心；
操作更省心：开通自动续保服务，无需重复
产品信息,相似,为什么建议您保留自动续保?,不设置自动续保会怎样？,"自动续保,续保,保障中断",是,0.872,为什么建议您保留自动续保?,保障不中断：无需手动记投保时间，划扣成功后直接续接次年保障，避免因忙碌、遗忘导致“保障空窗期”，应对突发医疗需求更安心；
操作更省心：开通自动续保服务，无需重复
产品信息,标准,参保有截止日期吗？,参保有截止日期吗？,"截止日期,参保时间,什么时候截止",是,0.769,参保有截止日期吗？,您好，参保时间是即日起到2025年12月31日，过期就无法参保了。保障明年一整年，建议您尽早办理，别错过哦！
产品信息,相似,参保有截止日期吗？,南京宁惠保还有多久可以买？,"截止日期,参保时间,什么时候截止",是,0.834,参保有截止日期吗？,您好，参保时间是即日起到2025年12月31日，过期就无法参保了。保障明年一整年，建议您尽早办理，别错过哦！
产品信息,标准,保单到期后，没有出险保费会返还吗？,保单到期后，没有出险保费会返还吗？,"保单到期,保费返还,消费型保险",是,0.869,保单到期后，没有出险保费会返还吗？,您好，本产品属于消费型保险， 它的保费相对低廉（每年一百左右），却能提供上百万元的保额，正是因为它是“消费型”的，保费是不返还的。
产品信息,相似,保单到期后，没有出险保费会返还吗？,如果没出险，到期能拿回钱吗？,"保单到期,保费返还,消费型保险",是,0.800,保单到期后，没有出险保费会返还吗？,您好，本产品属于消费型保险， 它的保费相对低廉（每年一百左右），却能提供上百万元的保额，正是因为它是“消费型”的，保费是不返还的。
产品信息,标准,与去年相比，“南京宁惠保”六期的保障有变化吗？,与去年相比，“南京宁惠保”六期的保障有变化吗？,"南京宁惠保,六期,保障变化",是,0.882,与去年相比，“南京宁惠保”六期的保障有变化吗？,一是新增了门诊用药可赔。升级版责任一，将住院期间和通过“双通道”在门诊（含定点零售药店）使用国家谈判药品所发生的经医保报销后的个人自付费用纳入保障。
二是特药目
产品信息,相似,与去年相比，“南京宁惠保”六期的保障有变化吗？,南京宁惠保六期和五期有什么不一样？,"南京宁惠保,六期,保障变化",是,0.799,与去年相比，“南京宁惠保”六期的保障有变化吗？,一是新增了门诊用药可赔。升级版责任一，将住院期间和通过“双通道”在门诊（含定点零售药店）使用国家谈判药品所发生的经医保报销后的个人自付费用纳入保障。
二是特药目
产品信息,标准,去年已购买了“南京宁惠保”，今年还需要重新购买吗？,去年已购买了“南京宁惠保”，今年还需要重新购买吗？,"南京宁惠保,是否需要重新购买,一年期产品",是,0.906,去年已购买了“南京宁惠保”，今年还需要重新购买吗？,“南京宁惠保”是一年期产品，需要每年投保。现在开放参保的“南京宁惠保”六期，保障时间是2026年1月1日—2026年12月31日。
产品信息,相似,去年已购买了“南京宁惠保”，今年还需要重新购买吗？,去年买了南京宁惠保，今年还要买吗？,"南京宁惠保,是否需要重新购买,一年期产品",是,0.882,去年已购买了“南京宁惠保”，今年还需要重新购买吗？,“南京宁惠保”是一年期产品，需要每年投保。现在开放参保的“南京宁惠保”六期，保障时间是2026年1月1日—2026年12月31日。
产品信息,标准,免赔额具体金额是多少？,免赔额具体金额是多少？,"免赔额金额,免赔额数额,自付额度",否,0.851,请问免赔额是多少,升级保障版（150元版本）：①责任一：免赔额1.5至2万元之间赔付10%；2万元以上非既往症赔付90%，既往症赔付60%年赔付限额100万②责任二、三：共用2万
产品信息,相似,免赔额具体金额是多少？,免赔额多少钱？,"免赔额金额,免赔额数额,自付额度",否,0.845,请问免赔额是多少,升级保障版（150元版本）：①责任一：免赔额1.5至2万元之间赔付10%；2万元以上非既往症赔付90%，既往症赔付60%年赔付限额100万②责任二、三：共用2万
产品信息,标准,全家参保有什么额外好处吗？,全家参保有什么额外好处吗？,"全家参保,家庭共享,多人投保",是,0.845,全家参保有什么额外好处吗？,同一投保人为3人及以上直系家庭成员同时购买的，其本人、配偶、父母及子女可分别共享责任一和责任二、三的免赔额，家庭共享人数最多不超过7人。比个人单独累计免赔额更轻
产品信息,相似,全家参保有什么额外好处吗？,如果全家一起买保险有什么好处？,"全家参保,家庭共享,多人投保",是,0.845,全家参保有什么额外好处吗？,同一投保人为3人及以上直系家庭成员同时购买的，其本人、配偶、父母及子女可分别共享责任一和责任二、三的免赔额，家庭共享人数最多不超过7人。比个人单独累计免赔额更轻
产品信息,标准,什么是等待期,什么是等待期,"等待期,观察期,免责期",是,0.615,什么是等待期,您好，等待期是指自本保险合同起始时间起计算的一段时间（该时间以保险合同载明为准；若保险合同未载明则该时间视为0日），经过该段时间后，保险公司才对被保险人承担给付
产品信息,相似,什么是等待期,买了保险多久才能理赔？,"等待期,观察期,免责期",是,0.822,什么是等待期,您好，等待期是指自本保险合同起始时间起计算的一段时间（该时间以保险合同载明为准；若保险合同未载明则该时间视为0日），经过该段时间后，保险公司才对被保险人承担给付
产品信息,标准,为什么价格这么优惠？,为什么价格这么优惠？,价格优惠原因,是,0.846,为什么价格这么优惠？,您好，因为“南京宁惠保”是由政府牵头，由南京市医疗保障局、南京市委金融委员会办公室、南京市民政局、南京市农业农村局、南京市卫生健康委员会、南京市人民政府国有资产
产品信息,相似,为什么价格这么优惠？,为什么这么便宜？,价格优惠原因,是,0.796,为什么价格这么优惠？,您好，因为“南京宁惠保”是由政府牵头，由南京市医疗保障局、南京市委金融委员会办公室、南京市民政局、南京市农业农村局、南京市卫生健康委员会、南京市人民政府国有资产
产品信息,标准,去年参保了，今年继续参保有没有什么优待？,去年参保了，今年继续参保有没有什么优待？,"连续参保,续保优惠,未出险",是,0.791,去年参保了，今年继续参保有没有什么优待？,连续两年及以上未中断投保“南京宁惠保”且未出险的，责任二、三赔付比例提升5%(基础版)/责任二、三、四赔付比例提升5%(升级版)。简单说：如果你去年参保了没出险
产品信息,相似,去年参保了，今年继续参保有没有什么优待？,如果去年买了今年继续买，有什么好处？,"连续参保,续保优惠,未出险",是,0.719,去年参保了，今年继续参保有没有什么优待？,连续两年及以上未中断投保“南京宁惠保”且未出险的，责任二、三赔付比例提升5%(基础版)/责任二、三、四赔付比例提升5%(升级版)。简单说：如果你去年参保了没出险
产品信息,标准,今年还可以用医保个账支付保费吗？,今年还可以用医保个账支付保费吗？,"医保个账,个人账户,医保余额",是,0.870,今年还可以用医保个账支付保费吗？,可以的，支持使用医保个账余额为符合参保条件的本人、配偶、父母、子女支付保费，南京职工医保参保人还可用医保个账余额为在江苏省内参加基本医保的近亲属（配偶、父母、子
产品信息,相似,今年还可以用医保个账支付保费吗？,可以用医保卡里的钱交保费吗？,"医保个账,个人账户,医保余额",是,0.818,今年还可以用医保个账支付保费吗？,可以的，支持使用医保个账余额为符合参保条件的本人、配偶、父母、子女支付保费，南京职工医保参保人还可用医保个账余额为在江苏省内参加基本医保的近亲属（配偶、父母、子
产品信息,标准,什么是“南京宁惠保？,什么是“南京宁惠保？,"南京宁惠保,是什么,政府指导",是,0.815,什么是“南京宁惠保？,南京宁惠保是由南京市医疗保障局、南京市委金融委员会办公室、南京市民政局、南京市农业农村局、南京市卫生健康委员会、南京市人民政府国有资产监督管理委员会、南京市总工
产品信息,相似,什么是“南京宁惠保？,宁惠保是什么类型的保险？,"南京宁惠保,是什么,政府指导",是,0.786,什么是“南京宁惠保？,南京宁惠保是由南京市医疗保障局、南京市委金融委员会办公室、南京市民政局、南京市农业农村局、南京市卫生健康委员会、南京市人民政府国有资产监督管理委员会、南京市总工
产品信息,标准,为什么保单上没有保险公司的盖章？,为什么保单上没有保险公司的盖章？,"保单,盖章,公章",是,0.878,为什么保单上没有保险公司的盖章？,您好，我们给您提供电子参保凭证上是有承保保险公司的公章的，请您放心。您可在保单生效后通过【南京宁惠保】微信公众号或【微保】小程序-【我的】-【保单】-选择【南京
产品信息,相似,为什么保单上没有保险公司的盖章？,保单上怎么没有印章？,"保单,盖章,公章",是,0.865,为什么保单上没有保险公司的盖章？,您好，我们给您提供电子参保凭证上是有承保保险公司的公章的，请您放心。您可在保单生效后通过【南京宁惠保】微信公众号或【微保】小程序-【我的】-【保单】-选择【南京
产品信息,标准,在哪里查询这款产品的条款？,在哪里查询这款产品的条款？,"保险条款,保障内容,合同",是,0.759,在哪里查询这款产品的条款？,您好，您可关注【南京宁惠保】微信公众号-【参保入口】-进入参保页面，在参保页面下端查看【保险条款】。
产品信息,相似,在哪里查询这款产品的条款？,这款保险具体保什么？,"保险条款,保障内容,合同",否,0.779,这款产品保障范围是什么？,您好，本产品保险范围主要为：
基础保障版（99元版本）：
责任一：医保范围内医疗保障。保障期间内，被保险人住院或接受门特、门诊大病治疗发生的基本医保范围内个人自
产品信息,标准,什么是免赔额？免赔额是多少？,什么是免赔额？免赔额是多少？,"免赔额金额,免赔额数额,自付额度",是,0.842,什么是免赔额？免赔额是多少？,您好，免赔额是指注明属于承保范围的索赔金额中，在依据保险单申请相应的保险金前，应当由被保险人自己承担的额度。在社会医疗保险报销的部分，不计入免赔额。
产品信息,相似,什么是免赔额？免赔额是多少？,免赔额多少钱？,"免赔额金额,免赔额数额,自付额度",否,0.845,请问免赔额是多少,升级保障版（150元版本）：①责任一：免赔额1.5至2万元之间赔付10%；2万元以上非既往症赔付90%，既往症赔付60%年赔付限额100万②责任二、三：共用2万
产品信息,标准,已经划扣，需要取消，如何操作退费?,已经划扣，需要取消，如何操作退费?,"退保,取消保险,退款",是,0.832,已经划扣，需要取消，如何操作退费?,如您需要退费，可以在保单生效前(2026公众号年1月1日前)，（1）在“南京宁惠保”菜单栏【个人中心】→【保单查询】→【我的保单】→【查看详情】→【申请撤单】；
产品信息,相似,已经划扣，需要取消，如何操作退费?,钱已经被扣了，怎么退回来？,"退保,取消保险,退款",是,0.794,已经划扣，需要取消，如何操作退费?,如您需要退费，可以在保单生效前(2026公众号年1月1日前)，（1）在“南京宁惠保”菜单栏【个人中心】→【保单查询】→【我的保单】→【查看详情】→【申请撤单】；
