序号,测试类型,标准问题,测试问题,关键词,关键词命中率,数字匹配率,响应时间,失败原因分析
43,合成问题,后投保后多次时间生效 + 还有既往症是不是只能报销百分之30,后投保后多次时间生效，另外还有既往症是不是只能报销百分之30,"多次投保生效规则,既往症,赔付比例",0%,0%,5690ms,回答内容与问题完全不匹配（关键词命中率0%）
44,合成问题,可以为他人进行理赔报案吗？ + 免赔额不是按年算吗，为什么还,可以为他人进行理赔报案吗，另外免赔额不是按年算吗，为什么还有,"他人理赔,代报案,免赔额定义",0%,0%,5442ms,回答内容与问题完全不匹配（关键词命中率0%）
45,合成问题,快赔系统没带出来这一段时间的就诊记录，走的传统通道 + 那个,快赔系统没带出来这一段时间的就诊记录，走的传统通道，另外那个,"免赔额,赔付比例,直赔",0%,0%,1325ms,回答内容与问题完全不匹配（关键词命中率0%）

================= 失败案例汇总统计 =================

【排除说明】
实名认证拦截案例: 38个（系统正常行为，不计入失败）

【真正失败案例】
失败总数: 45个

按测试类型统计:
标准问题失败: 22个
相似问题失败: 15个
合成问题失败: 8个

按失败原因统计:
完全不匹配（命中率0%）: 22个
回答质量不足（命中率<20%）: 2个
回答信息不完整: 7个
其他失败: 14个

================= 实名认证拦截案例（正常行为） =================
总数: 38个
说明: 这些问题涉及查询用户个人数据（保单、理赔、订单等），系统正确返回实名认证提示，属于正常安全保护机制。

典型案例:
  - "如何查询自己是否已开通自动续保?"
  - "能查到我的保单么"
  - "在哪里查询或下载我的保单？"
  - "这个自动续保我都不知道怎么就自动续保了？能取消订单吗"
  - "哪里可以查看我的保单"
