序号,分类,标准问题,标准答案摘要,关键词,智能客服答案,命中关键词,缺失关键词,命中率%,有实质内容,响应时间ms,状态
21,产品信息,如何查询自己是否已开通自动续保?,（1）如您是通过我的南京APP、南京宁惠保公众号参保：可点击“南京宁惠保”公众号菜单栏→【个人中心】→【保单查询】→【我的保单】查看自动续保是否开启。 | （2）如,"自动续保,查询,是否开通,保单,参保",查询订单或理赔信息需要先完成实名认证，请点击以下链接进行认证：,查询,"自动续保,是否开通,保单,参保",20,否,1329,失败
22,产品信息,宁惠保六期是否支持使用医保个账购买，是否有金额限制，是否支持为家庭成员购买？,宁惠保六期支持使用医保个账购买，且医保个账可为近亲属购买。关于医保个账内最低金额限制，具体以官方规定为准。,"医保个账,购买,金额限制,家庭成员,支持",该功能暂不可用，建议您联系人工客服获取关于宁惠保六期医保个账购买、金额限制及家庭成员购买的相关信息。,"医保个账,购买,金额限制,家庭成员",支持,80,否,3831,部分通过
23,产品信息,宁惠保的赔付标准是什么？,宁惠保有两项免赔额：责任一为医保目录内个人自付部分，基础版免赔额为1.5万元，升级版为1.45万元；责任二三为医保目录外个人自费部分，免赔额为2万元。两个免赔额,"宁惠保,赔付标准,报销比例,免赔额,责任一,责任二三",该功能暂不可用，建议您联系人工客服获取关于“南京宁惠保”赔付标准的详细信息。,"宁惠保,赔付标准","报销比例,免赔额,责任一,责任二三",33,否,3443,部分通过
24,产品信息,家庭成员如何共享免赔额？需要提供哪些证明材料？,家庭成员可通过家庭参保共享免赔额，具体需提供家庭关系证明材料，如户口本、结婚证等，以确认家庭成员关系。,"免赔额共享,家庭免赔额,免赔额合并",该功能暂不可用，建议您联系人工客服获取关于家庭成员共享免赔额及所需证明材料的详细信息。,无,"免赔额共享,家庭免赔额,免赔额合并",,否,3393,失败
25,产品信息,家庭成员是否可以共享免赔额？,家庭成员可以共享免赔额，但需满足以下条件：同一投保人投保自己的直系亲属（父母、配偶、子女），且家庭成员人数在3-7人之间。投保人本人可参保也可不参保，但需上传家,"免赔额共享,家庭免赔额,免赔额合并",该功能暂不可用，建议您联系人工客服获取帮助。,无,"免赔额共享,家庭免赔额,免赔额合并",,否,3620,失败
26,产品信息,已经划扣，需要取消，如何操作退费?,如您需要退费，可以在保单生效前(2026公众号年1月1日前)，（1）在“南京宁惠保”菜单栏【个人中心】→【保单查询】→【我的保单】→【查看详情】→【申请撤单】；,"退保,取消保险,退款,撤单,申请退费,已扣费",查询订单或理赔信息需要先完成实名认证，请点击以下链接进行认证：,无,"退保,取消保险,退款,撤单,申请退费,已扣费",,否,1446,失败
27,产品信息,已经购买了其他医疗保障产品，是否还需要购买南京宁惠保？,即使已购买其他医疗保障产品，仍建议购买南京宁惠保，因其提供双通道门诊用药报销、医保外费用免赔额降低、海内外特药数量增加、家庭参保共享免赔额、医保个账可为近亲属购,"已有医疗保障,是否还需,叠加保障,双通道,特药,家庭共享",该功能暂不可用，建议您联系人工客服获取帮助。,无,"已有医疗保障,是否还需,叠加保障,双通道,特药,家庭共享",,否,3609,失败
28,产品信息,怎么为家人激活电子医保凭证？,激活医保电子凭证需要使用本人实名的微信号，同时绑定本人的银行卡才可以成功激活，所以每个微信账号只能激活该账号实名身份的医保电子凭证。 如果老人、或者小孩有自己的,"激活医保凭证,电子医保卡,微信激活,医保电子凭证,实名认证",该功能暂不可用，建议您联系人工客服获取帮助。,无,"激活医保凭证,电子医保卡,微信激活,医保电子凭证,实名认证",,否,2536,失败
29,产品信息,怎么查询或下载发票？,您好，目前宁惠保参保后是可以提供电子发票。如有需求，我们为您登记后预计3个工作日发送。给您带来不便，敬请谅解。,"发票,电子发票,下载发票,报销凭证,开票",查询订单或理赔信息需要先完成实名认证，请点击以下链接进行认证：,无,"发票,电子发票,下载发票,报销凭证,开票",,否,1524,失败
30,产品信息,我是南京医保，可以给省内医保的家人/外地医保的家人参保吗,可以参保。如果是江苏省内医保的家人，可以直接为他们参保；如果家人是外地医保，有两种情况可以为他们直接参保：一是配偶、父母、子女是南京市都市圈城市（芜湖、马鞍山、,"南京医保,家人参保,外地医保,江苏省内,亲属投保",该功能暂不可用，建议您联系人工客服获取帮助。,无,"南京医保,家人参保,外地医保,江苏省内,亲属投保",,否,3151,失败
