分类,测试类型,标准问题,测试问题,关键词,是否成功,ID匹配,关键词匹配,关键词命中率,最高相似度,匹配问题1,匹配问题2,答案摘要
产品信息,标准问题,与去年相比，“南京宁惠保”六期的保障有变化吗？,与去年相比，“南京宁惠保”六期的保障有变化吗？,"南京宁惠保,六期,保障变化",成功,是,是,67%,0.882,与去年相比，“南京宁惠保”六期的保障有变化吗？,南京宁惠保六期有哪些保障和优惠政策？,一是新增了门诊用药可赔。升级版责任一，将住院期间和通过“双通道”在门诊（含定点零售药店）使用国家谈判
产品信息,标准问题,怎么为家人激活电子医保凭证？,怎么为家人激活电子医保凭证？,"激活医保凭证,电子医保卡,微信激活",成功,是,否,0%,0.840,怎么为家人激活电子医保凭证？,在哪里查询或下载我的保单？,激活医保电子凭证需要使用本人实名的微信号，同时绑定本人的银行卡才可以成功激活，所以每个微信账号只能激
产品信息,标准问题,怎么查询或下载发票？,怎么查询或下载发票？,"发票,电子发票,下载发票",成功,是,是,67%,0.777,怎么查询或下载发票？,宁惠保电子保单怎么下载？,您好，目前宁惠保参保后是可以提供电子发票。如有需求，我们为您登记后预计3个工作日发送。给您带来不便，
产品信息,标准问题,投保后，为什么一直显示出单中？,投保后，为什么一直显示出单中？,"出单中,状态,审核",成功,是,是,100%,0.916,投保后，为什么一直显示出单中？,投保后提供纸质保单还是电子保单？,您好，别担心，“出单中”是正常状态。因为保障是2026年1月1日才开始，保险公司正在审核中。等参保材
产品信息,标准问题,我是南京医保，可以给省内医保的家人/外地医保的家人参保吗,我是南京医保，可以给省内医保的家人/外地医保的家人参保吗,"南京医保,家人参保,外地医保",成功,是,否,33%,0.932,我是南京医保，可以给省内医保的家人/外地医保的家人参保吗,南京基本医保参保人可以为直系亲属投保宁惠保吗？,可以参保。如果是江苏省内医保的家人，可以直接为他们参保；如果家人是外地医保，有两种情况可以为他们直接
产品信息,标准问题,投保后提供纸质保单还是电子保单？,投保后提供纸质保单还是电子保单？,"电子保单,纸质保单,凭证",成功,是,是,67%,0.885,投保后提供纸质保单还是电子保单？,在哪里查询或下载我的保单？,您好，为倡导绿色环保本产品提供的是电子参保凭证。 您好，我们给您提供电子保单，保单生效后可通过【南京
产品信息,标准问题,投保这款产品需要满足什么条件？,投保这款产品需要满足什么条件？,"投保条件,参保要求,购买资格",成功,是,否,0%,0.813,投保这款产品需要满足什么条件？,投保这款产品是否需要健康告知/体检？,（1）南京市城镇职工基本医疗保险和南京市城乡居民基本医疗保险参保人群；
（2）南京基本医保参保人其参
产品信息,标准问题,为什么价格这么优惠？,为什么价格这么优惠？,价格优惠原因,成功,是,否,0%,0.846,为什么价格这么优惠？,这款产品有哪些优待政策吗？,您好，因为“南京宁惠保”是由政府牵头，由南京市医疗保障局、南京市委金融委员会办公室、南京市民政局、南
产品信息,标准问题,退休后，可以投保本产品吗？,退休后，可以投保本产品吗？,"退休,投保,购买",成功,是,是,67%,0.862,退休后，可以投保本产品吗？,这款产品会停售吗？,您好，满足投保条件的退休人员可以投保本产品。 您好，本产品的参保开放时间为即日起至2025年12月3
产品信息,标准问题,是否可以带病投保？,是否可以带病投保？,"带病投保,可以买保险吗,已有疾病参保",成功,是,否,0%,0.810,是否可以带病投保？,投保这款产品是否需要健康告知/体检？,可以的，但需要注意的是，参保人在产品生效前如已患有约定的六种疾病或已存在这六种疾病的病前症状，并因此
产品信息,标准问题,暂时不需要自动续保“南京宁惠保六期，如何取消?,暂时不需要自动续保“南京宁惠保六期，如何取消?,"取消自动续保,关闭续保服务,宁惠保六期",成功,是,否,33%,0.910,暂时不需要自动续保“南京宁惠保六期，如何取消?,怎么取消续保功能,（1）如您是通过我的南京APP、南京宁惠保公众号参保：可点击“南京宁惠保”公众号菜单栏→【个人中心】
产品信息,标准问题,有社保和无社保投保有什么区别,有社保和无社保投保有什么区别,"有社保和无社保区别,参保条件,是否必须有医保",成功,是,否,0%,0.826,有社保和无社保投保有什么区别,什么是医保身份？,您好，无社保是不可参保南京宁惠保的。条款中约定部分除外。 您好，“医保”指的就是社会医疗保险（简称医
产品信息,标准问题,为什么保单上没有保险公司的盖章？,为什么保单上没有保险公司的盖章？,"保单,盖章,公章",成功,是,是,67%,0.878,为什么保单上没有保险公司的盖章？,投保后提供纸质保单还是电子保单？,您好，我们给您提供电子参保凭证上是有承保保险公司的公章的，请您放心。您可在保单生效后通过【南京宁惠保
产品信息,标准问题,预留手机号可以修改吗？如何修改？,预留手机号可以修改吗？如何修改？,"手机号,修改,预留信息",成功,是,是,67%,0.832,预留手机号可以修改吗？如何修改？,可以变更受益人吗,您好，预留手机号可以修改。修改方式：关注【南京宁惠保】微信公众号 → 个人中心 → 个人信息 → 修
产品信息,标准问题,投保这款产品是否需要健康告知/体检？,投保这款产品是否需要健康告知/体检？,"健康告知,体检,是否需要",成功,是,是,67%,0.896,投保这款产品是否需要健康告知/体检？,续保时需要再次告知身体状况吗,您好，这款产品不需要健康告知，也不需要体检。 您好，续保时无需告知身体状况。 （1）南京市城镇职工基
产品信息,标准问题,非南京户籍人员是否可以购买南京宁惠保？,非南京户籍人员是否可以购买南京宁惠保？,"南京宁惠保,非户籍,购买条件",成功,是,否,33%,0.894,非南京户籍人员是否可以购买南京宁惠保？,省外医保人员是否可以参保南京宁惠保？,非南京户籍人员也可以购买南京宁惠保，但需满足一定条件。如果由子女作为投保人购买，父母无需在南京居住或
住院保障,标准问题,谁没事整天住院？,谁没事整天住院？,"住院频率,住院次数,住院问题",成功,是,否,0%,0.731,谁没事整天住院？,现在住院自费太高，自费加起来2万才报吗,24年：免赔额是年度内累计的（基础版99）①责任一 医保范围内个人自付：免赔额 1.8万， 1.8万
住院保障,标准问题,可以延期么？我父母在南京住院现在已经回老家了，办理文件不方便,可以延期么？我父母在南京住院现在已经回老家了，办理文件不方便,"延期,住院文件,办理不便",成功,是,否,0%,0.917,可以延期么？我父母在南京住院现在已经回老家了，办理文件不方便,25年12月住院，26年1月1号出院，怎么在查询时看不到25,升级保障版（150元版本）：①责任一：免赔额1.5至2万元之间赔付10%；2万元以上非既往症赔付90
住院保障,标准问题,是多次住院累计报销额超过多少可以报销,是多次住院累计报销额超过多少可以报销,"多次住院,累计免赔额,报销门槛",成功,是,否,0%,0.876,是多次住院累计报销额超过多少可以报销,现在住院自费太高，自费加起来2万才报吗,25年：免赔额是年度内累计的不区分单次多次（基础版99）①责任一 医保范围内个人自付：免赔额 1.5
住院保障,标准问题,住院总费用1.3万，自费4千,住院总费用1.3万，自费4千,"住院费用自费,赔付比例",成功,是,是,50%,0.839,住院总费用1.3万，自费4千,现在住院自费太高，自费加起来2万才报吗,24年：免赔额是年度内累计的（基础版99） ①责任一 医保范围内个人自付：免赔额 1.8万， 1.8
住院保障,标准问题,现在住院自费太高，自费加起来2万才报吗,现在住院自费太高，自费加起来2万才报吗,"住院自费,年度累计",成功,是,否,0%,0.894,现在住院自费太高，自费加起来2万才报吗,住院总费用1.3万，自费4千,24年：免赔额是年度内累计的（基础版99）①责任一 医保范围内个人自付：免赔额 1.8万， 1.8万
保单服务,标准问题,在哪里查询或下载我的保单？,在哪里查询或下载我的保单？,"下载,保单,电子凭证",成功,是,是,100%,0.862,在哪里查询或下载我的保单？,哪里可以查看我的保单,您好，我们给您提供电子保单，保单生效后可通过【南京宁惠保】微信公众号-【我的服务】-【我的保单】，选
保单服务,标准问题,能查到我的保单么,能查到我的保单么,"保单,查询,查看",成功,是,是,67%,0.868,能查到我的保单么,哪里可以查看我的保单,升级版：责任一：医保范围内医疗保障100万元 免赔额：1.45至2万元之间 非既往症人群50%，既往
保单服务,标准问题,25年12月住院，26年1月1号出院，怎么在查询时看不到25年这单，而且选择日期,25年12月住院，26年1月1号出院，怎么在查询时看不到25年这单，而且选择日期上也没有26年月份选,"跨年住院,报销,入院时间",成功,是,否,33%,0.869,25年12月住院，26年1月1号出院，怎么在查询时看不到25,理赔金额为什么按年度计算而不是按治疗周期？,以入院时间为准，入院在哪一年就在哪一年申请理赔。跨年费用理赔 ：按照住院时间算25年有保单的话，25
保单服务,标准问题,如何咨询关于南京宁惠保的参保问题？,如何咨询关于南京宁惠保的参保问题？,"咨询参保,购买问题,投保疑问",成功,是,否,0%,0.879,如何咨询关于南京宁惠保的参保问题？,这款产品怎么投保？,您可以通过拨打咨询电话，或在问题列表中选择相关问题，若无所需问题，请输入“人工”，由人工客服为您解答
保单查询,标准问题,保单号可以空着吗,保单号可以空着吗,"保单号,填写要求,是否必填",成功,是,否,0%,0.858,保单号可以空着吗,投保这款产品是否需要健康告知/体检？,25年：免赔额是年度内累计的（基础版99）①责任一 医保范围内个人自付：免赔额 1.5万， 1.5万
保单查询,标准问题,宁惠保电子保单怎么下载？,宁惠保电子保单怎么下载？,"宁惠保,电子保单,下载",成功,是,是,67%,0.880,宁惠保电子保单怎么下载？,怎么查询或下载发票？,您好，下载保单或发票的步骤：一、公众号下载：关注微信公众号江苏人保财险—个性主页—中国人保-我的-我
保单查询,标准问题,这个自动续保我都不知道怎么就自动续保了？能取消订单吗,这个自动续保我都不知道怎么就自动续保了？能取消订单吗,"自动续保,取消订单,退保",成功,是,否,33%,0.916,这个自动续保我都不知道怎么就自动续保了？能取消订单吗,如何取消自动续保,取消自动续保：①【我的南京APP】或微信服务号【南京宁惠保】“个人中心”--“我的保单”页面找到需要
保单查询,标准问题,哪里可以查看我的保单,哪里可以查看我的保单,"保单,查看,凭证",成功,是,是,100%,0.877,哪里可以查看我的保单,能查到我的保单么,取消自动续保：①【我的南京APP】或微信公众号【南京宁惠保】“个人中心”--“我的保单”页面找到需要
保障范围,标准问题,门诊日间手术可以理赔吗？有哪些病种？,门诊日间手术可以理赔吗？有哪些病种？,"日间手术,理赔,病种",成功,是,是,100%,0.893,门诊日间手术可以理赔吗？有哪些病种？,请问门诊手术可以理赔吗,您好，患有门诊日间手术病种清单中的疾病，在医院的门诊日间手术病房进行手术，并且是按照门诊日间手术医疗
保障范围,标准问题,双通道门诊用药如何报销,双通道门诊用药如何报销,"双通道,门诊用药,报销",成功,否,是,100%,0.862,请问门诊双通道的药品可以报销吗？,双通道门诊用药如何报销,24年：免赔额是年度内累计的（基础版99） ①责任一 医保范围内个人自付：免赔额 1.8万， 1.8
保障范围,标准问题,什么情况下可以申请宁惠保理赔？,什么情况下可以申请宁惠保理赔？,"宁惠保理赔,申请条件,住院费用",成功,否,是,67%,0.835,宁惠保的理赔条件是什么？,什么情况下可以申请宁惠保理赔？,宁惠保的理赔范围包括住院和门特、门诊大病类型的门诊费用，经医保结算之后，剩余的费用按不同责任理赔，超
