测试类型,标准问题,测试问题,关键词,关键词命中率,数字匹配率,准确,响应时间
标准问题,这款产品和医保的区别？,这款产品和医保的区别？,"南京宁惠保,医保区别,医疗补充保险",0%,100%,是,67ms
标准问题,这款产品什么时候生效？,这款产品什么时候生效？,"生效时间,保障开始,什么时候开始",0%,0%,是,66ms
标准问题,是否可以带病投保？,是否可以带病投保？,"带病投保,可以买保险吗,已有疾病参保",0%,0%,是,67ms
标准问题,南京基本医保参保人可以为直系亲属投保宁惠保吗？,南京基本医保参保人可以为直系亲属投保宁惠保吗？,"为亲属投保,直系亲属参保,家庭成员买保险",0%,100%,是,53ms
标准问题,电子保单什么时候可以查下并下载？,电子保单什么时候可以查下并下载？,"电子保单,下载,查询",0%,100%,是,65ms
标准问题,有社保和无社保投保有什么区别,有社保和无社保投保有什么区别,"有社保和无社保区别,参保条件,是否必须有医保",0%,100%,是,53ms
标准问题,这款产品有哪些投保渠道？,这款产品有哪些投保渠道？,"投保渠道,购买途径,线上投保",0%,100%,是,82ms
标准问题,购买宁惠保是否还需要购买国家基本医疗保险？,购买宁惠保是否还需要购买国家基本医疗保险？,"宁惠保,医保,基本医疗保险",0%,100%,是,83ms
标准问题,宁惠保六期是否支持使用医保个账购买，是否有金额限制，是否支持,宁惠保六期是否支持使用医保个账购买，是否有金额限制，是否支持,"医保个账,购买,金额限制",0%,100%,是,64ms
标准问题,这款产品有哪些优待政策吗？,这款产品有哪些优待政策吗？,"优待政策,续保优惠,保费减免",0%,0%,是,64ms
标准问题,申请退保后保费多久到账？,申请退保后保费多久到账？,"退保,退款,保费到账",0%,100%,是,67ms
标准问题,这款产品可以为他人投保吗？,这款产品可以为他人投保吗？,"为他人投保,给家人买,帮别人参保",0%,100%,是,82ms
标准问题,已经购买了其他产品，是否还需要购买这款产品？,已经购买了其他产品，是否还需要购买这款产品？,"重复购买,其他产品,是否需要",0%,100%,是,50ms
标准问题,非南京户籍人员是否可以购买南京宁惠保？,非南京户籍人员是否可以购买南京宁惠保？,"南京宁惠保,非户籍,购买条件",0%,100%,是,66ms
标准问题,免赔额具体金额是多少？,免赔额具体金额是多少？,"免赔额金额,免赔额数额,自付额度",0%,0%,是,53ms
标准问题,与去年相比，“南京宁惠保”六期的保障有变化吗？,与去年相比，“南京宁惠保”六期的保障有变化吗？,"南京宁惠保,六期,保障变化",0%,0%,是,118ms
标准问题,这款产品保费是多少？,这款产品保费是多少？,保费金额,0%,0%,是,54ms
标准问题,去年参保了，今年继续参保有没有什么优待？,去年参保了，今年继续参保有没有什么优待？,"连续参保,续保优惠,未出险",0%,0%,是,54ms
标准问题,家庭成员是否可以共享免赔额？,家庭成员是否可以共享免赔额？,"免赔额共享,家庭免赔额,免赔额合并",0%,100%,是,67ms
标准问题,哪些人群可以参保南京宁惠保？,哪些人群可以参保南京宁惠保？,"参保条件,南京宁惠保,医保参保人",0%,100%,是,39ms
标准问题,这款产品保障多长时间？,这款产品保障多长时间？,"保障期限,有效期,多长时间",0%,0%,是,52ms
标准问题,今年还可以用医保个账支付保费吗？,今年还可以用医保个账支付保费吗？,"医保个账,个人账户,医保余额",0%,100%,是,82ms
标准问题,这款产品的等待期/观察期有多久？,这款产品的等待期/观察期有多久？,"等待期,观察期,责任",0%,0%,是,38ms
标准问题,怎么为家人激活电子医保凭证？,怎么为家人激活电子医保凭证？,"激活医保凭证,电子医保卡,微信激活",0%,100%,是,51ms
标准问题,去年已购买了“南京宁惠保”，今年还需要重新购买吗？,去年已购买了“南京宁惠保”，今年还需要重新购买吗？,"南京宁惠保,是否需要重新购买,一年期产品",0%,0%,是,67ms
标准问题,这款产品和其他商业险是否有冲突？,这款产品和其他商业险是否有冲突？,"与其他保险冲突,和商业险关系,是否影响其他保险",0%,100%,是,67ms
标准问题,续保时需要再次告知身体状况吗,续保时需要再次告知身体状况吗,"续保,告知健康状况,身体情况",0%,100%,是,80ms
标准问题,家庭成员如何共享免赔额？需要提供哪些证明材料？,家庭成员如何共享免赔额？需要提供哪些证明材料？,"免赔额共享,家庭免赔额,免赔额合并",0%,100%,是,68ms
标准问题,在哪里查询这款产品的条款？,在哪里查询这款产品的条款？,"保险条款,保障内容,合同",0%,100%,是,67ms
标准问题,这款产品的赔付比例是多少？,这款产品的赔付比例是多少？,"赔付比例,报销比例,免赔额",0%,0%,是,36ms
标准问题,是多次住院累计报销额超过多少可以报销,是多次住院累计报销额超过多少可以报销,"多次住院,累计免赔额,报销门槛",0%,0%,是,52ms
标准问题,现在住院自费太高，自费加起来2万才报吗,现在住院自费太高，自费加起来2万才报吗,"住院自费,年度累计",0%,0%,是,54ms
标准问题,谁没事整天住院？,谁没事整天住院？,"住院频率,住院次数,住院问题",0%,0%,是,65ms
标准问题,住院总费用1.3万，自费4千,住院总费用1.3万，自费4千,"住院费用自费,赔付比例",0%,0%,是,49ms
标准问题,可以延期么？我父母在南京住院现在已经回老家了，办理文件不方便,可以延期么？我父母在南京住院现在已经回老家了，办理文件不方便,"延期,住院文件,办理不便",0%,0%,是,80ms
标准问题,25年12月住院，26年1月1号出院，怎么在查询时看不到25,25年12月住院，26年1月1号出院，怎么在查询时看不到25,"跨年住院,报销,入院时间",0%,0%,是,66ms
标准问题,如何咨询关于南京宁惠保的参保问题？,如何咨询关于南京宁惠保的参保问题？,"咨询参保,购买问题,投保疑问",0%,100%,是,83ms
标准问题,能查到我的保单么,能查到我的保单么,"保单,查询,查看",0%,0%,是,83ms
标准问题,在哪里查询或下载我的保单？,在哪里查询或下载我的保单？,"下载,保单,电子凭证",0%,100%,是,64ms
标准问题,这个自动续保我都不知道怎么就自动续保了？能取消订单吗,这个自动续保我都不知道怎么就自动续保了？能取消订单吗,"自动续保,取消订单,退保",0%,100%,是,82ms
标准问题,保单号可以空着吗,保单号可以空着吗,"保单号,填写要求,是否必填",0%,0%,是,81ms
标准问题,哪里可以查看我的保单,哪里可以查看我的保单,"保单,查看,凭证",0%,100%,是,65ms
标准问题,宁惠保电子保单怎么下载？,宁惠保电子保单怎么下载？,"宁惠保,电子保单,下载",0%,100%,是,66ms
标准问题,宁惠保是否可以报销住院费用？,宁惠保是否可以报销住院费用？,宁惠保住院报销,0%,0%,是,82ms
标准问题,痔疮手术是否可以理赔,痔疮手术是否可以理赔,"痔疮手术,理赔,日间手术",0%,100%,是,65ms
标准问题,哪些疾病可以理赔？,哪些疾病可以理赔？,"理赔,疾病,报销",0%,100%,是,81ms
标准问题,门诊手术是否可以报销,门诊手术是否可以报销,"门诊手术,报销条件,日间手术",0%,0%,是,82ms
标准问题,脑梗、脑出血可以报销吗？,脑梗、脑出血可以报销吗？,"脑梗,脑出血,住院报销",0%,100%,是,64ms
标准问题,国外的住院医疗费用本产品可以理赔吗？,国外的住院医疗费用本产品可以理赔吗？,"国外,住院费用,理赔",0%,100%,是,65ms
标准问题,去年投保了，今年投保，去年确认恶性肿瘤，算既往症吗？,去年投保了，今年投保，去年确认恶性肿瘤，算既往症吗？,"既往症,老毛病,恶性肿瘤",0%,100%,是,67ms
标准问题,基因检测费用是否可以报销？,基因检测费用是否可以报销？,"基因检测,费用报销,住院清单",0%,100%,是,67ms
标准问题,本产品既往症具体有哪些？,本产品既往症具体有哪些？,"既往症有哪些,老毛病范围,已有疾病",0%,100%,是,83ms
标准问题,手术费用是否可以理赔,手术费用是否可以理赔,手术费理赔,0%,100%,是,67ms
标准问题,宁惠保理赔中哪些情况符合药房购药的理赔条件？,宁惠保理赔中哪些情况符合药房购药的理赔条件？,"宁惠保,药房购药,理赔条件",0%,100%,是,49ms
标准问题,住院费用是否可以报销？如何申请？,住院费用是否可以报销？如何申请？,"住院费用,是否可以报销,理赔流程",0%,100%,是,66ms
标准问题,进口药、自费药可以报销吗,进口药、自费药可以报销吗,"进口药,自费药,报销",0%,100%,是,81ms
标准问题,如何申请特药理赔？,如何申请特药理赔？,"特药理赔,特效药,靶向药",0%,100%,是,83ms
标准问题,普通门诊费用是否可以报销？,普通门诊费用是否可以报销？,"普通门诊,门诊费用,能否报销",0%,100%,是,68ms
标准问题,什么情况下可以申请宁惠保理赔？,什么情况下可以申请宁惠保理赔？,"宁惠保理赔,申请条件,住院费用",0%,100%,是,37ms
标准问题,这款产品可以重复报销吗？,这款产品可以重复报销吗？,"重复报销,多份无效,只能买一份",0%,100%,是,51ms
标准问题,南京宁惠保六期有哪些保障和优惠政策？,南京宁惠保六期有哪些保障和优惠政策？,"宁惠保六期保障,宁惠保内容,优惠条款",0%,100%,是,65ms
标准问题,门诊日间手术包含哪些内容？,门诊日间手术包含哪些内容？,"门诊,报销,理赔",0%,100%,是,66ms
标准问题,门诊日间手术可以理赔吗？有哪些病种？,门诊日间手术可以理赔吗？有哪些病种？,"日间手术,理赔,病种",0%,100%,是,64ms
标准问题,狂犬疫苗费用是否可以报销,狂犬疫苗费用是否可以报销,"狂犬疫苗,报销,理赔范围",0%,100%,是,66ms
标准问题,宁惠保理赔范围包括哪些类型费用？,宁惠保理赔范围包括哪些类型费用？,"宁惠保,理赔范围,保障内容",0%,100%,是,66ms
标准问题,门特和门诊大病是什么？怎么办理？,门特和门诊大病是什么？怎么办理？,"门特,门诊大病,办理流程",0%,100%,是,82ms
标准问题,“南京宁惠保”六期不能报销什么病种？,“南京宁惠保”六期不能报销什么病种？,"南京宁惠保,六期,不报销",0%,100%,是,66ms
标准问题,哪些情况不赔付？除外责任是什么？,哪些情况不赔付？除外责任是什么？,"不赔付,除外责任,免责条款",0%,100%,是,81ms
标准问题,哪里可以查询医保定点医院？,哪里可以查询医保定点医院？,"医保,定点医院,查询",0%,100%,是,51ms
标准问题,意外可以赔付吗？,意外可以赔付吗？,"意外,赔付,报销",0%,100%,是,65ms
标准问题,急诊费用是否可以报销？,急诊费用是否可以报销？,"急诊报销,门诊费用,理赔范围",0%,100%,是,81ms
标准问题,门诊看病是否可以报销,门诊看病是否可以报销,"门诊看病,报销,门特",0%,100%,是,79ms
标准问题,什么是责任一、责任二、责任三？各保障什么？,什么是责任一、责任二、责任三？各保障什么？,"责任一,责任二,责任三",0%,0%,是,50ms
标准问题,甲状腺手术费用是否可以报销,甲状腺手术费用是否可以报销,"甲状腺手术,报销,理赔",0%,100%,是,38ms
标准问题,那之前门诊拍片子之类的算么？,那之前门诊拍片子之类的算么？,"门诊,免赔额,报销",0%,0%,是,81ms
标准问题,生孩子的费用能报销吗？,生孩子的费用能报销吗？,"生育费用,生孩子报销,产检费用",0%,100%,是,67ms
标准问题,双通道门诊用药如何报销,双通道门诊用药如何报销,"双通道,门诊用药,报销",0%,100%,是,82ms
标准问题,门诊检查费用是否可以报销？,门诊检查费用是否可以报销？,"门诊检查,报销,费用",0%,100%,是,67ms
标准问题,这款产品免除责任内容在哪里查看？,这款产品免除责任内容在哪里查看？,"免除责任,免责内容,不保什么",0%,100%,是,64ms
标准问题,宁惠保理赔范围是什么？,宁惠保理赔范围是什么？,"宁惠保,理赔范围,保障范围",0%,100%,是,64ms
标准问题,种植牙是否可以报销,种植牙是否可以报销,"种植牙,报销范围,赔付内容",0%,100%,是,83ms
标准问题,宁惠保的理赔范围包括哪些类型费用？,宁惠保的理赔范围包括哪些类型费用？,"宁惠保,理赔范围,报销类型",0%,100%,是,66ms
标准问题,宁惠保是否包含意外险,宁惠保是否包含意外险,"意外险,主险,附加险",0%,0%,是,81ms
标准问题,住院手术费用是否可以报销,住院手术费用是否可以报销,"住院手术,门诊大病,门特",0%,100%,是,81ms
标准问题,住院报销需要哪些材料？,住院报销需要哪些材料？,"住院,报销,材料",0%,100%,是,65ms
标准问题,这款产品保障范围是什么？,这款产品保障范围是什么？,"保障范围,保什么,覆盖内容",0%,0%,是,67ms
标准问题,门诊费用是否可以报销？,门诊费用是否可以报销？,"门诊费用,报销,保障内容",0%,100%,是,66ms
标准问题,南京宁惠保是否覆盖门诊治疗？,南京宁惠保是否覆盖门诊治疗？,"南京宁惠保,门诊治疗,保障范围",0%,0%,是,81ms
标准问题,中草药费用报销吗？,中草药费用报销吗？,"中草药,费用,报销",0%,100%,是,83ms
标准问题,其他城市什么时候上线？,其他城市什么时候上线？,"上线时间,城市覆盖,地区开通",0%,100%,是,67ms
标准问题,当地医保局电话多少？,当地医保局电话多少？,"医保局电话,当地医保咨询,医保热线",0%,100%,是,53ms
标准问题,如何处理已投保但单位已为其办理团险的情况？,如何处理已投保但单位已为其办理团险的情况？,"团险重复,单位已参保,退款登记",0%,0%,是,80ms
标准问题,理赔金额是如何计算的？,理赔金额是如何计算的？,"理赔金额,计算方式,医保后赔付",0%,100%,是,50ms
标准问题,如何申请南京宁惠保医疗理赔？,如何申请南京宁惠保医疗理赔？,"理赔申请,医疗理赔,报销",0%,0%,是,65ms
标准问题,如有问题，去哪儿咨询？,如有问题，去哪儿咨询？,"咨询,客服,联系方式",0%,100%,是,65ms
标准问题,人工客服服务时间是多少？,人工客服服务时间是多少？,"客服时间,服务时间,人工服务",0%,100%,是,82ms
标准问题,人工客服电话是多少？,人工客服电话是多少？,"客服电话,联系电话,人工电话",0%,100%,是,65ms
标准问题,这是我投保人的电话,这是我投保人的电话,"投保人电话,联系方式,被保险人",0%,0%,是,66ms
标准问题,你好，请问投保的五期和六期有什么差别,你好，请问投保的五期和六期有什么差别,"投保,五期,六期",0%,0%,是,81ms
标准问题,如何重复参保南京宁惠保？,如何重复参保南京宁惠保？,"重复参保,再次投保,南京宁惠保",0%,100%,是,66ms
标准问题,怎么查询别人是购买的是99还是150,怎么查询别人是购买的是99还是150,"查询版本,99元,150元",0%,0%,是,80ms
标准问题,在哪里查询投保须知？,在哪里查询投保须知？,"投保渠道,购买方式,参保途径",0%,100%,是,35ms
标准问题,我想取消自动投保,我想取消自动投保,"取消自动投保,退保,关闭续保",0%,100%,是,83ms
标准问题,后投保后多次时间生效,后投保后多次时间生效,多次投保生效规则,0%,0%,是,67ms
标准问题,还有既往症是不是只能报销百分之30,还有既往症是不是只能报销百分之30,"既往症,赔付比例,报销比例",0%,0%,是,65ms
标准问题,怎么判断既往症？,怎么判断既往症？,"判断既往症,老毛病定义,已有疾病",0%,100%,是,66ms
标准问题,既往症怎么认定的,既往症怎么认定的,"既往症认定,老毛病处理,已有疾病",0%,0%,是,64ms
标准问题,既往症是什么意思,既往症是什么意思,"既往症,老毛病,已有疾病",0%,0%,是,65ms
标准问题,对于既往症是什么政策啊,对于既往症是什么政策啊,"既往症,老毛病,已有疾病",0%,0%,是,81ms
标准问题,参保所需证件类型指的是什么,参保所需证件类型指的是什么,"证件类型,身份证,材料",0%,100%,是,51ms
标准问题,保险人是指什么？,保险人是指什么？,"保险人,承保人,保险公司",0%,100%,是,80ms
标准问题,投保人、被保险人分别指什么？,投保人、被保险人分别指什么？,"投保人,被保险人,定义",0%,100%,是,65ms
标准问题,什么是社会基本医疗保险,什么是社会基本医疗保险,"社会基本医疗保险,医保,基本医疗",0%,100%,是,66ms
标准问题,什么是医保身份？,什么是医保身份？,"医保身份,社保身份,医保参保",0%,100%,是,34ms
标准问题,什么是社会保险定点医院？,什么是社会保险定点医院？,"定点医院,医保医院,社保医院",0%,100%,是,82ms
标准问题,什么叫必需且合理的医疗费用？,什么叫必需且合理的医疗费用？,"必需且合理,医疗费用,治疗规范",0%,100%,是,82ms
标准问题,南京门诊大病指哪些病？,南京门诊大病指哪些病？,"南京门诊大病,病种范围,特殊病种",0%,100%,是,33ms
标准问题,什么是个人自付和个人自费？,什么是个人自付和个人自费？,"个人自付,个人自费,医保目录内",0%,100%,是,67ms
标准问题,什么是既往症？既往症包括哪些疾病？,什么是既往症？既往症包括哪些疾病？,"既往症,老毛病,已有疾病",0%,100%,是,65ms
标准问题,什么是门诊大病？,什么是门诊大病？,"门诊大病,特殊疾病门诊,门特",0%,100%,是,67ms
标准问题,什么是商业保险？,什么是商业保险？,"商业保险,商业险,非社保",0%,100%,是,34ms
标准问题,医疗费用发票原件丢失了怎么办？,医疗费用发票原件丢失了怎么办？,"发票丢失,医疗发票丢了,理赔材料缺失",0%,100%,是,79ms
标准问题,如果是不在医保内的药品，就没有包括在责任二里面？,如果是不在医保内的药品，就没有包括在责任二里面？,"医保外药品,责任二,不包含",0%,0%,是,65ms
标准问题,阿来替尼是特药吗,阿来替尼是特药吗,"阿来替尼,特药,特效药",0%,0%,是,80ms
标准问题,老人已经去世了，还有药品的报销。这怎么操作？没办法委托,老人已经去世了，还有药品的报销。这怎么操作？没办法委托,"去世,报销,药品",0%,100%,是,51ms
标准问题,那个医保外报销的指的就是特药报销？,那个医保外报销的指的就是特药报销？,"医保外,特药,药品报销",0%,0%,是,50ms
标准问题,能帮我查下格列卫在特药范围内吗？,能帮我查下格列卫在特药范围内吗？,"格列卫,特药,药品范围",0%,100%,是,66ms
标准问题,特药直送需要什么材料？,特药直送需要什么材料？,"特药直送,购药前,所需材料",0%,100%,是,52ms
标准问题,报销需要哪些材料？,报销需要哪些材料？,"报销材料,理赔资料,所需文件",0%,100%,是,66ms
标准问题,理赔需要哪些资料？,理赔需要哪些资料？,"理赔材料,所需资料,报销文件",0%,100%,是,35ms
标准问题,异地就医需要提供哪些材料？,异地就医需要提供哪些材料？,"异地就医材料,所需资料,医保结算单",0%,100%,是,80ms
标准问题,没出院就办了直赔，再直赔后出院之前又产生费用呢,没出院就办了直赔，再直赔后出院之前又产生费用呢,"直赔,未出院,后续费用",0%,0%,是,50ms
标准问题,理赔需要提供哪些资料？,理赔需要提供哪些资料？,"理赔资料,申请材料,报销所需",0%,100%,是,81ms
标准问题,住院材料需要哪些？,住院材料需要哪些？,"住院,所需材料,出院记录",0%,100%,是,53ms
标准问题,理赔只需要银行卡号就可以吗？还需要什么？,理赔只需要银行卡号就可以吗？还需要什么？,"理赔材料,银行卡号,身份证",0%,100%,是,50ms
标准问题,特药事后理赔需要什么材料？,特药事后理赔需要什么材料？,"特药,事后理赔,材料清单",0%,100%,是,80ms
标准问题,理赔申请需要哪些材料？,理赔申请需要哪些材料？,"理赔材料,所需资料,住院发票",0%,100%,是,66ms
标准问题,什么是直赔和快赔？有什么区别？,什么是直赔和快赔？有什么区别？,"直赔,快赔,理赔方式",0%,100%,是,50ms
标准问题,如何进行南京宁惠保的理赔操作？,如何进行南京宁惠保的理赔操作？,"理赔,报销,申请赔款",0%,100%,是,67ms
标准问题,指定医院有哪些？,指定医院有哪些？,"指定医院,定点医疗机构,可就诊医院",0%,100%,是,52ms
标准问题,线下理赔网点地址和工作时间是什么？,线下理赔网点地址和工作时间是什么？,"线下理赔,网点地址,工作时间",0%,100%,是,65ms
标准问题,如何进行理赔？,如何进行理赔？,"理赔,操作,流程",0%,100%,是,81ms
标准问题,理赔时需要发票原件吗,理赔时需要发票原件吗,"理赔材料,发票原件,电子材料",0%,0%,是,80ms
标准问题,如何进行理赔申请？,如何进行理赔申请？,"理赔申请,怎么申请,南京宁惠保",0%,100%,是,52ms
标准问题,理赔原件可以退还吗,理赔原件可以退还吗,"理赔原件,发票退还,分割单",0%,100%,是,83ms
标准问题,理赔标准是什么？,理赔标准是什么？,"理赔标准,赔付门槛,免赔额",0%,0%,是,66ms
标准问题,你告诉我达到多少费用就可以理赔吧？,你告诉我达到多少费用就可以理赔吧？,"理赔起付线,免赔额标准",0%,0%,是,80ms
标准问题,医保报销后个人自付和自费费用如何赔付？,医保报销后个人自付和自费费用如何赔付？,"医保报销后,个人自付,自费费用",0%,0%,是,65ms
标准问题,今年还支持直赔吗？直赔医院有哪些？,今年还支持直赔吗？直赔医院有哪些？,"直赔,直赔医院,免赔额",0%,100%,是,59ms
标准问题,理赔申请有哪些方式？哪种方式更方便？,理赔申请有哪些方式？哪种方式更方便？,"理赔方式,申请渠道,线上申请",0%,100%,是,66ms
标准问题,如何办理宁惠保理赔？,如何办理宁惠保理赔？,"理赔流程,报销材料,住院发票",0%,100%,是,52ms
标准问题,理赔申请的渠道有哪些,理赔申请的渠道有哪些,"理赔渠道,申请路径,线上平台",0%,100%,是,81ms
标准问题,没有到医保报销可以直接申请理赔吗？,没有到医保报销可以直接申请理赔吗？,"医保报销,直接理赔,未经医保",0%,100%,是,83ms
标准问题,异地就医包括哪些人员？,异地就医包括哪些人员？,"异地就医,人员范围,异地安置",0%,100%,是,66ms
标准问题,南京宁惠保线下理赔地址在哪里？,南京宁惠保线下理赔地址在哪里？,"南京宁惠保,理赔地址,线下办理",0%,100%,是,65ms
标准问题,宁惠保六期理赔时间是什么时候？,宁惠保六期理赔时间是什么时候？,"理赔时间,通道开启,申请时间",0%,0%,是,64ms
标准问题,2026年的理赔在快速理赔里查不到怎么办？,2026年的理赔在快速理赔里查不到怎么办？,"理赔,查询不到,快速理赔",0%,0%,是,66ms
标准问题,参保地变更能赔付吗？,参保地变更能赔付吗？,"变更参保地,赔付,医保中断",0%,100%,是,66ms
标准问题,请问门诊手术可以理赔吗,请问门诊手术可以理赔吗,"门诊手术,理赔,日间手术",0%,0%,是,80ms
标准问题,宁惠保的理赔条件是什么？,宁惠保的理赔条件是什么？,"宁惠保,理赔条件,报销条件",0%,100%,是,64ms
标准问题,传统理赔需要提交哪些材料？,传统理赔需要提交哪些材料？,"理赔材料,住院发票,理赔申请",0%,100%,是,66ms
标准问题,提交理赔后多久能审核完？,提交理赔后多久能审核完？,"理赔时间,审核周期,处理时长",0%,100%,是,52ms
标准问题,如何进行线下理赔？,如何进行线下理赔？,"线下理赔,现场办理,材料",0%,100%,是,69ms
标准问题,异地就医结算单是什么？,异地就医结算单是什么？,"异地就医结算单,结算单据,医保结算",0%,100%,是,83ms
标准问题,立案需要多长时间？,立案需要多长时间？,"立案时间,理赔进度,结案周期",0%,100%,是,49ms
标准问题,我理赔资料填写不符吗,我理赔资料填写不符吗,"理赔资料不符,材料错误,填写错误",0%,0%,是,51ms
标准问题,想请问下理赔的金额？,想请问下理赔的金额？,"理赔金额,赔付比例,报销多少",0%,0%,是,64ms
标准问题,理赔金额为什么按年度计算而不是按治疗周期？,理赔金额为什么按年度计算而不是按治疗周期？,"年度计算,治疗周期,免赔额累计",0%,0%,是,68ms
标准问题,有理赔次数限制吗？,有理赔次数限制吗？,"理赔次数限制,赔付次数,报销次数",0%,100%,是,50ms
标准问题,医保结算单是什么？,医保结算单是什么？,"医保结算单,医保单据,自付金额",0%,100%,是,50ms
标准问题,出院后。理赔是这样吗？,出院后。理赔是这样吗？,"出院后理赔,理赔流程,申请方式",0%,100%,是,67ms
标准问题,申请理赔的方式有哪些？哪种方式更方便？,申请理赔的方式有哪些？哪种方式更方便？,"理赔方式,申请赔款,线上申请",0%,100%,是,67ms
